ID,District_Name,District_Hospital_Name,CHCs,Month,Patient_Registration_%,Appointment_Utilization_%,OPD_Growth_%,Bed_Occupancy_%,Pharmacy_Fulfillment_%,Lab_TAT_Hours,Radiology_Utilization_%,OPD_Billing_Accuracy_%,IPD_Discharge_Summary_%,OT_Utilization_%,Surgery_Success_%,Emergency_Response_Min,Staff_Attendance_%,Claim_Settlement_%,Patient_Satisfaction_%,Ambulance_Response_Min,Consultancy Type,% Patient having ABHA ID,HFR_Registred,Time for Initial Assessment of Indoor Patients (min),% of Unplanned Return to OT,Mortality Ratio for ICU (%),Return to ICU within 48 hrs (%),TAT for the Issue of Blood (min),Ambulance Utilization Rate (%),Ambulance Medication/Equipment Availability (%)
HR25F0001,Ambala,Ambala-DH,Mullana,01-01-2025,36.5,88.9,4,50.4,96,6.7,51,83,93,82,97,23,85,94,45.5,18.5,Online,47.3,No,51,2,0,0,80,71.7,65
HR25F0002,Ambala,Ambala-DH,Chaurmastpur,01-01-2025,80,64.4,9,52.9,88,5.7,81,100,86,44.3,90,25,84,89,76.7,13.5,Telemedicine,55.3,Yes,46,3,3,4,11,52.8,68.8
HR25F0003,Ambala,Ambala-DH,Shahzadpur,01-01-2025,38,64.4,5,64.4,98,5.2,55,97,70,71.6,94,24,79,62,62,15,Follow-up,32.7,No,40,5,0,0,48,17.4,78.8
HR25F0004,Ambala,Ambala-DH,Brara,01-01-2025,74,52.2,6,82.2,88,6.2,40,80,77,32.6,85,24,97,65,67.5,16,Online,40.7,Yes,45,4,2,4,74,24.5,65
HR25F0005,Ambala,Ambala-DH,Ambli,01-01-2025,44,46.1,15,96.2,80,6.4,57,86,76,35.2,90,19,75,70,91.3,18.5,Telemedicine,30,Yes,14,0,3,4,60,25.6,75
HR25F0006,Bhiwani,Bhiwani-DH,Kairu,01-01-2025,48.5,90.1,2,68.2,73,6.8,31,83,86,65.1,97,16,83,74,93.2,15,Follow-up,82,No,60,4,1,4,81,58.7,78.8
HR25F0007,Bhiwani,Bhiwani-DH,Manheru,01-01-2025,68,71.8,3,59.3,70,7.5,83,89,100,30,94,18,80,78,43.7,11,Follow-up,44.7,No,49,0,3,1,36,58.7,46.3
HR25F0008,Bhiwani,Bhiwani-DH,Jamalpur,01-01-2025,50,63.2,9,75.8,71,6.4,39,84,92,58.6,96,9,90,90,51,14.5,Online,47.3,No,21,1,3,4,15,45.7,80
HR25F0009,Bhiwani,Bhiwani-DH,Dhanana,01-01-2025,92,77.9,1,75.8,94,3.8,50,89,79,48.2,94,23,100,94,60.2,16,New,31.3,No,35,3,0,3,60,70.5,55
HR25F0010,Bhiwani,Bhiwani-DH,Miran,01-01-2025,36.5,60.8,1,33.8,92,5.2,50,100,82,63.8,99,7,81,71,65.7,14,Follow-up,87.3,No,57,5,3,1,78,19.7,68.8
HR25F0011,Charkhi Dadri,Charkhi Dadri-DH,Gopi,01-01-2025,93.5,51,11,38.9,92,9.9,47,97,95,89.8,93,9,96,88,52.8,14.5,Online,32.7,No,53,0,0,3,51,28,46.3
HR25F0012,Charkhi Dadri,Charkhi Dadri-DH,Bondkalan,01-01-2025,38,58.3,5,61.8,98,6.8,65,92,93,85.9,92,28,90,89,47.3,20,New,68.7,Yes,41,4,1,1,57,80,73.8
HR25F0013,Charkhi Dadri,Charkhi Dadri-DH,Jhojukalan,01-01-2025,50,40,2,47.8,90,9.1,46,89,81,53.4,87,13,82,67,51,11,Online,32.7,Yes,60,4,2,2,26,50.5,52.5
HR25F0014,Faridabad,ESIC Medical College,Kurali,01-01-2025,74,47.3,15,51.6,74,7.8,60,83,78,76.8,100,12,83,76,69.3,16.5,Follow-up,31.3,No,53,0,3,1,87,51.6,55
HR25F0015,Faridabad,ESIC Medical College,Pali,01-01-2025,77,65.7,10,77.1,73,6.2,40,81,74,95,85,22,86,92,93.2,13,Follow-up,68.7,No,50,1,1,2,63,57.5,52.5
HR25F0016,Faridabad,ESIC Medical College,Tigaon Kheri,01-01-2025,38,49.8,4,52.9,95,6.2,31,88,93,72.9,94,25,95,61,89.5,20,Follow-up,47.3,Yes,22,5,2,2,38,31.5,80
HR25F0017,Faridabad,ESIC Medical College,Kalan,01-01-2025,36.5,62,0,42.7,81,5.7,62,83,95,33.9,91,13,75,91,51,18.5,Follow-up,59.3,No,39,2,0,1,86,19.7,76.3
HR25F0018,Fatehabad,Fatehabad-DH,Bhattukalan,01-01-2025,75.5,82.8,2,56.7,83,3.4,90,86,94,84.6,85,27,87,90,43.7,17.5,Online,36.7,Yes,33,1,3,3,29,30.4,80
HR25F0019,Fatehabad,Fatehabad-DH,Bhuna,01-01-2025,51.5,68.1,9,66.9,90,5.8,84,94,86,71.6,100,23,88,68,82.2,16,Follow-up,54,Yes,15,3,2,4,38,45.7,50
HR25F0020,Fatehabad,Fatehabad-DH,Jakhal,01-01-2025,39.5,90.1,1,92.4,92,7.5,85,100,96,37.8,95,7,83,82,49.2,15.5,Telemedicine,46,Yes,22,5,3,2,31,69.4,85
HR25F0021,Fatehabad,Fatehabad-DH,Badopal,01-01-2025,50,42.4,9,66.9,74,5.0,82,98,91,61.2,99,15,100,80,49.2,18,Follow-up,44.7,No,24,0,3,3,79,68.2,76.3
HR25F0022,Fatehabad,Fatehabad-DH,Bothankalan,01-01-2025,89,57.1,14,65.6,79,6.4,76,86,87,63.8,85,7,79,65,84,17,Follow-up,74,Yes,44,0,1,2,33,30.4,50
HR25F0023,Gurgaon,Gurgaon-DH,Farukhnagar,01-01-2025,75.5,51,2,51.6,74,7.0,32,95,87,48.2,91,15,89,74,60.2,17,Telemedicine,38,Yes,42,1,2,0,44,35.1,83.8
HR25F0024,Gurgaon,Gurgaon-DH,Bhora,01-01-2025,44,76.7,11,88.5,94,4.5,39,80,73,49.5,85,10,98,95,41.8,16,New,63.3,No,45,2,2,2,47,65.8,52.5
HR25F0025,Gurgaon,Gurgaon-DH,Kalan,01-01-2025,54.5,47.3,1,51.6,80,5.2,88,96,97,49.5,96,24,91,66,69.3,13,Online,31.3,No,39,0,3,2,48,38.6,68.8
HR25F0026,Gurgaon,Gurgaon-DH,Ghangola,01-01-2025,71,93.8,12,83.5,88,4.4,75,90,89,75.5,97,20,81,68,89.5,12.5,New,55.3,Yes,26,0,0,4,31,48.1,90
HR25F0027,Hisar,Maharaja Agrasen Medical College,Siswal,01-01-2025,92,85.2,4,80.9,70,4.7,38,83,85,58.6,85,27,82,63,74.8,10.5,Online,82,Yes,54,4,2,1,82,57.5,65
HR25F0028,Hisar,Maharaja Agrasen Medical College,Mangali,01-01-2025,39.5,40,4,92.4,94,4.0,71,93,90,83.3,93,13,89,67,67.5,19,Follow-up,74,No,18,1,0,4,32,29.2,87.5
HR25F0029,Hisar,Maharaja Agrasen Medical College,Aryanagar,01-01-2025,42.5,57.1,2,87.3,71,4.5,68,95,82,36.5,92,21,89,66,49.2,19.5,Telemedicine,83.3,No,36,5,3,1,25,35.1,82.5
HR25F0030,Hisar,Maharaja Agrasen Medical College,Uklana,01-01-2025,75.5,65.7,3,54.2,92,7.8,38,100,75,40.4,95,11,89,76,63.8,17,Online,79.3,Yes,28,5,3,1,15,52.8,67.5
HR25F0031,Hisar,Maharaja Agrasen Medical College,Mirchpur,01-01-2025,75.5,62,8,45.3,85,4.5,76,88,74,85.9,97,8,79,91,45.5,15,New,46,No,28,5,2,0,10,65.8,51.3
HR25F0032,Hisar,Maharaja Agrasen Medical College,SisaiBola,01-01-2025,39.5,46.1,13,49.1,78,6.0,38,97,71,83.3,89,20,99,86,85.8,19,New,52.7,No,46,2,1,4,42,76.5,77.5
HR25F0033,Hisar,Maharaja Agrasen Medical College,Khanda,01-01-2025,72.5,49.8,14,74.5,95,5.1,69,96,86,49.5,100,10,84,68,49.2,19.5,Follow-up,42,Yes,27,0,0,3,67,36.3,78.8
HR25F0034,Hisar,Maharaja Agrasen Medical College,Kheri,01-01-2025,41,82.8,11,80.9,84,7.5,78,82,73,45.6,96,13,81,67,69.3,10,Follow-up,31.3,No,48,4,2,2,57,29.2,50
